Class of hydrocarbon,IUPAC name,Melting point,Boiling point,Density@20å¡C*,Flash point,Autoignition temp
1-alkene,1-hexene,-140,64,0.673,-26,255
1-alkene,1-heptene,-119,94,0.697,-8,250
1-alkene,1-octene,-102,121,0.715,10,240
1-alkene,1-nonene,-81,147,0.733,26,
1-alkene,1-decene,-66,172,0.741,44,230
1-alkene,1-undecene,-49,193,0.751,63,
1-alkene,1-dodecene,-35,213,0.758,76,225
1-alkene,1-tridecene,-23,233,0.766,,
1-alkene,1-tetradecene,-13,251,0.778,,
1-alkene,1-pentadecene,-4,268,0.776,,
1-alkene,1-hexadecene,4,285,0.781,,
1-alkene,1-heptadecene,11,301,0.785,,
1-alkene,1-octadecene,18,316,0.789,,
1-alkene,1-nonadecene,23,331,0.78925,,
1-alkene,1-docosene,38,367,0.79425,,
